Post_ID,Post_URL,Post_Author_Name,Post_Author_Profile,Post_Author_JobTitle,Post_Time,Post_Content,Post_Reactions,Post_Comments,Post_Impressions,Date_Collected
7357890917174841344,,Bill GatesBill Gates,https://www.linkedin.com/in/williamhgates?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc,"Chair, Gates Foundation and Founder, Breakthrough EnergyChair, Gates Foundation and Founder, Breakthrough Energy",1mo • Edited •1 month ago • Edited • Visible to anyone on or off LinkedIn,It’s thrilling to see fusion energy getting closer to a breakthrough. Commercial fusion power would be a huge leap in fighting climate change.,0,390,0,2025-10-02 03:09:19
7357519090405576704,,Bill GatesBill Gates,https://www.linkedin.com/in/williamhgates?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc,"Chair, Gates Foundation and Founder, Breakthrough EnergyChair, Gates Foundation and Founder, Breakthrough Energy",1mo •1 month ago • Visible to anyone on or off LinkedIn,"Diarrhea was once one of the top killers of children. Today, deaths from diarrhea have dropped by 72% thanks to affordable rotavirus vaccines, organizations like
Gavi, the Vaccine Alliance
, and improved sanitation. But with almost 350,000 children still dying each year, and new threats emerging, the fight is far from over:
https://lnkd.in/gDHJr9tN",0,505,0,2025-10-02 03:09:19
7357161315464826880,,Bill GatesBill Gates,https://www.linkedin.com/in/williamhgates?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc,"Chair, Gates Foundation and Founder, Breakthrough EnergyChair, Gates Foundation and Founder, Breakthrough Energy",2mo • Edited •2 months ago • Edited • Visible to anyone on or off LinkedIn,"As a nurse, Agnes Nambozo knows that vaccines save lives—that's why she’s riding on motorbikes, hiking through mountains, and climbing rickety 1,000-foot ladders to deliver them to families in the most remote parts of Uganda.",0,451,0,2025-10-02 03:09:19
7356828340772638720,,Bill GatesBill Gates,https://www.linkedin.com/in/williamhgates?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc,"Chair, Gates Foundation and Founder, Breakthrough EnergyChair, Gates Foundation and Founder, Breakthrough Energy",2mo •2 months ago • Visible to anyone on or off LinkedIn,"Agnes Nambozo climbs 1,000 foot ladders to vaccinate children in remote Ugandan villages. ​",0,205,0,2025-10-02 03:09:19
7356810956540141568,,Bill GatesBill Gates,https://www.linkedin.com/in/williamhgates?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc,"Chair, Gates Foundation and Founder, Breakthrough EnergyChair, Gates Foundation and Founder, Breakthrough Energy",2mo •2 months ago • Visible to anyone on or off LinkedIn,"Agnes climbs 1,000-foot ladders to vaccinate children in remote Ugandan villages. Even after U.S. funding cuts forced her clinic to lose staff, she keeps showing up—because to her, “love is a verb.”",0,818,0,2025-10-02 03:09:19
7348529400771944448,,Bill GatesBill Gates,https://www.linkedin.com/in/williamhgates?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc,"Chair, Gates Foundation and Founder, Breakthrough EnergyChair, Gates Foundation and Founder, Breakthrough Energy",2mo •2 months ago • Visible to anyone on or off LinkedIn,"U.S. health aid enables community health workers like Agnes Nambozo, a vaccinator in Uganda, to save lives. Cutting this funding puts millions of people around the world at risk.",0,277,0,2025-10-02 03:09:23
7348489401716391936,,Bill GatesBill Gates,https://www.linkedin.com/in/williamhgates?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc,"Chair, Gates Foundation and Founder, Breakthrough EnergyChair, Gates Foundation and Founder, Breakthrough Energy",2mo •2 months ago • Visible to anyone on or off LinkedIn,"I’ve been working in global health for 25 years—as long as I was CEO of Microsoft. At this point, I know as much about improving health in poor countries as I do about software. And I’m certain that just as U.S. health aid saves lives. And when that aid is cut—abruptly and without a plan—lives are lost.",0,0,0,2025-10-02 03:09:23
7347350667159617537,,Bill GatesBill Gates,https://www.linkedin.com/in/williamhgates?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc,"Chair, Gates Foundation and Founder, Breakthrough EnergyChair, Gates Foundation and Founder, Breakthrough Energy",2mo •2 months ago • Visible to anyone on or off LinkedIn,Global health funding is less than 1% of the U.S federal budget—and cutting it will cost over a million lives.,0,996,0,2025-10-02 03:09:23
7346678905900015616,,Bill GatesBill Gates,https://www.linkedin.com/in/williamhgates?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc,"Chair, Gates Foundation and Founder, Breakthrough EnergyChair, Gates Foundation and Founder, Breakthrough Energy",2mo • Edited •2 months ago • Edited • Visible to anyone on or off LinkedIn,An exciting step toward commercial fusion—and exactly the kind of progress a clean energy future demands.,0,478,0,2025-10-02 03:09:23
7345980893741686785,,Bill GatesBill Gates,https://www.linkedin.com/in/williamhgates?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc,"Chair, Gates Foundation and Founder, Breakthrough EnergyChair, Gates Foundation and Founder, Breakthrough Energy",3mo • Edited •3 months ago • Edited • Visible to anyone on or off LinkedIn,"Keeping vaccines cold is one of the biggest challenges of protecting hard-to-reach communities from deadly diseases.
Gavi, the Vaccine Alliance
is solving that problem every day:
https://lnkd.in/g4K4mVgN",0,589,0,2025-10-02 03:09:23
